Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2020,Milwaukee Bucks,56,17,.767,—,118.7,108.6,9.41,Y,N
2020,Toronto Raptors,53,19,.736,2.5,112.8,106.5,5.97,Y,N
2020,Boston Celtics,48,24,.667,7.5,113.7,107.3,5.83,Y,N
2020,Indiana Pacers,45,28,.616,11.0,109.4,107.5,1.63,Y,N
2020,Miami Heat,44,29,.603,12.0,112.0,109.1,2.59,Y,N
2020,Philadelphia 76ers,43,30,.589,13.0,110.7,108.4,2.25,Y,N
2020,Brooklyn Nets,35,37,.486,20.5,111.8,112.3,-1.01,Y,Y
2020,Orlando Magic,33,40,.452,23.0,107.3,108.3,-0.93,Y,Y
2020,Charlotte Hornets,23,42,.354,29.0,102.9,109.6,-7.03,N,Y
2020,Washington Wizards,25,47,.347,30.5,114.4,119.1,-5.24,N,Y
2020,Chicago Bulls,22,43,.338,30.0,106.8,109.9,-4.00,N,Y
2020,New York Knicks,21,45,.318,31.5,105.8,112.3,-6.72,N,Y
2020,Detroit Pistons,20,46,.303,32.5,107.2,110.8,-4.38,N,Y
2020,Atlanta Hawks,20,47,.299,33.0,111.8,119.7,-7.71,N,Y
2020,Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,-7.77,N,Y
2020,Los Angeles Lakers,52,19,.732,—,113.4,107.6,6.28,Y,N
2020,Los Angeles Clippers,49,23,.681,3.5,116.3,109.9,6.66,Y,N
2020,Denver Nuggets,46,27,.630,7.0,111.3,109.2,2.35,Y,N
2020,Houston Rockets,44,28,.611,8.5,117.8,114.8,3.13,Y,N
2020,Oklahoma City Thunder,44,28,.611,8.5,110.4,108.4,2.33,Y,N
2020,Utah Jazz,44,28,.611,8.5,111.3,108.8,2.52,Y,N
2020,Dallas Mavericks,43,32,.573,11.0,117.0,112.1,4.87,Y,N
2020,Portland Trail Blazers,35,39,.473,18.5,115.0,116.1,-0.61,Y,Y
2020,Memphis Grizzlies,34,39,.466,19.0,112.6,113.7,-0.91,N,Y
2020,Phoenix Suns,34,39,.466,19.0,113.6,113.4,0.56,N,Y
2020,San Antonio Spurs,32,39,.451,20.0,114.1,115.2,-0.65,N,Y
2020,Sacramento Kings,31,41,.431,21.5,110.1,112.1,-1.59,N,Y
2020,New Orleans Pelicans,30,42,.417,22.5,115.8,117.1,-0.55,N,Y
2020,Minnesota Timberwolves,19,45,.297,29.5,113.3,117.5,-4.02,N,Y
2020,Golden State Warriors,15,50,.231,34.0,106.3,115.0,-8.12,N,Y
2019,Milwaukee Bucks,60,22,.732,—,118.1,109.3,8.04,Y,N
2019,Toronto Raptors,58,24,.707,2.0,114.4,108.4,5.49,Y,N
2019,Philadelphia 76ers,51,31,.622,9.0,115.2,112.5,2.25,Y,N
2019,Boston Celtics,49,33,.598,11.0,112.4,108.0,3.90,Y,N
2019,Indiana Pacers,48,34,.585,12.0,108.0,104.7,2.76,Y,N
2019,Brooklyn Nets,42,40,.512,18.0,112.2,112.3,-0.40,Y,N
2019,Orlando Magic,42,40,.512,18.0,107.3,106.6,0.28,Y,N
2019,Detroit Pistons,41,41,.500,19.0,107.0,107.3,-0.56,Y,N
2019,Charlotte Hornets,39,43,.476,21.0,110.7,111.8,-1.32,N,Y
2019,Miami Heat,39,43,.476,21.0,105.7,105.9,-0.45,N,Y
2019,Washington Wizards,32,50,.390,28.0,114.0,116.9,-3.30,N,Y
2019,Atlanta Hawks,29,53,.354,31.0,113.3,119.4,-6.06,N,Y
2019,Chicago Bulls,22,60,.268,38.0,104.9,113.4,-8.32,N,Y
2019,Cleveland Cavaliers,19,63,.232,41.0,104.5,114.1,-9.39,N,Y
2019,New York Knicks,17,65,.207,43.0,104.6,113.8,-8.93,N,Y
2019,Golden State Warriors,57,25,.695,—,117.7,111.2,6.42,Y,N
2019,Denver Nuggets,54,28,.659,3.0,110.7,106.7,4.19,Y,N
2019,Portland Trail Blazers,53,29,.646,4.0,114.7,110.5,4.43,Y,N
2019,Houston Rockets,53,29,.646,4.0,113.9,109.1,4.96,Y,N
2019,Utah Jazz,50,32,.610,7.0,111.7,106.5,5.28,Y,N
2019,Oklahoma City Thunder,49,33,.598,8.0,114.5,111.1,3.56,Y,N
2019,San Antonio Spurs,48,34,.585,9.0,111.7,110.0,1.80,Y,N
2019,Los Angeles Clippers,48,34,.585,9.0,115.1,114.3,1.09,Y,N
2019,Sacramento Kings,39,43,.476,18.0,114.2,115.3,-0.81,N,Y
2019,Los Angeles Lakers,37,45,.451,20.0,111.8,113.5,-1.33,N,Y
2019,Minnesota Timberwolves,36,46,.439,21.0,112.5,114.0,-1.02,N,Y
2019,Memphis Grizzlies,33,49,.402,24.0,103.5,106.1,-2.08,N,Y
